year,date,temp_mean,temp_min,temp_max,hum_mean,light_mean,light_max,st1,st2,st3,st4,sm1,sm2,sm3,sm4,ph,salt,pest_count,lure_count,spore_count,label
2025,2025-05-12,16.805,10.24,22.44,46.70733552631579,19342.233578947365,68558.8,12.714089912280702,10.792711622807015,9.14483442982456,7.698911184210528,21.83428849902534,21.59971710526316,21.265166666666666,22.73122807017544,7.169584747343185,0.0078161600877192,0.0,1.0,0.0,2
2025,2025-05-13,13.303631960335622,9.16,19.08,61.72936260488177,16995.434664282988,84345.1,11.820361842105264,10.557711622807018,9.35261403508772,8.115548245614034,21.464661306042885,21.349445175438596,21.099525219298247,22.65044407894737,7.222331674265332,0.0076784276315789,0.0,1.0,0.0,2
2025,2025-05-14,15.72708552631579,10.38,22.619999999999997,76.57317982456141,11395.240833333331,72019.06000000001,12.732050438596492,11.02076754385965,9.614248903508772,8.348002192982456,21.343016569200778,21.296552631578948,21.01327302631579,22.57869846491228,7.343118367123654,0.0075281314836003,0.0,1.0,0.0,2
2025,2025-05-15,13.408776315789472,11.3,17.2,89.50792105263159,12712.622372807016,69427.4,12.629958333333333,11.399445175438595,10.111043859649124,8.829478070175437,24.01795565302145,22.861480263157897,22.00907236842105,23.227799342105264,7.592714912620406,0.0086185460526315,0.0,0.0,0.0,2
2025,2025-05-16,13.950804612337294,10.4,16.28,63.80934684493492,24488.353498443692,90851.52,12.608176535087718,11.397268640350877,10.251810307017545,9.086878289473685,24.26317007797271,23.088154605263156,22.280752192982455,23.55646271929825,7.276536435008754,0.0089778070175438,0.0,1.0,0.0,2
2025,2025-05-17,15.814681286549709,9.02,25.36,69.15558625730993,26831.898693713458,102884.66,13.483234649122808,11.808029605263158,10.470754385964913,9.278439692982456,23.63538133528265,22.693884868421055,22.06884210526316,23.43971710526316,7.174078553967695,0.0088650975877192,0.0,1.0,0.0,2
2025,2025-05-18,9.53986559139785,6.0200000000000005,14.22,76.63757392473119,25766.84374327957,108698.22,11.57690789473684,11.304768640350876,10.58175548245614,9.589515350877193,24.466671539961013,23.170473684210528,22.312076754385963,23.61294188596491,7.160688024093628,0.0093106754385964,0.0,0.0,0.0,2
2025,2025-05-19,10.081258258678613,7.08,14.18,77.25748133631953,17241.28144746174,95440.96,10.413492324561403,10.158389254385964,9.798900219298243,9.201759868421052,24.226895711500973,22.97553289473684,22.220924342105263,23.57159100877193,7.215265690623686,0.0091956074561403,0.0,0.0,0.0,2
2025,2025-05-20,10.790765350877193,4.68,16.740000000000002,76.52072587719297,29977.321168859653,101460.56,11.221417763157897,10.342487938596491,9.620513157894738,8.948495614035087,24.350313109161792,22.968735745614033,22.15418092105263,23.524293859649124,7.291453844372198,0.0091041622807017,0.0,0.0,0.0,2
2025,2025-05-21,10.379583333333333,6.4799999999999995,15.72,83.109375,22160.725625,110986.88,11.579327850877194,10.81069298245614,9.982393640350876,9.149757675438597,23.94012670565302,22.74846162280702,22.025535087719295,23.43744407894737,7.356114628578493,0.0090349967105263,0.0,0.0,0.0,2
2025,2025-05-22,10.802949561403508,3.72,15.84,75.31645614035088,23141.597756578947,104856.18,11.690747807017544,10.909326754385964,10.10834210526316,9.294094298245614,23.495105994152045,22.49990679824561,21.905332236842103,23.331554824561405,7.295630798941493,0.0088696458333333,0.0,1.0,0.0,2
2025,2025-05-23,9.443390350877191,5.9,12.94,76.55561184210526,13560.237407894736,72221.06,10.763429824561404,10.506588815789474,10.038179824561404,9.35473245614035,23.062097953216373,22.24815789473684,21.770825657894736,23.195118421052634,7.139150353040288,0.0086446951754385,0.0,0.0,0.0,2
2025,2025-05-24,11.15625,5.64,16.9,67.13163563829787,21826.743785460996,107354.92,11.038436403508772,10.260895833333333,9.693455043859649,9.135200657894735,22.824201998050683,22.03829605263158,21.624440789473685,23.09189692982456,7.422011586353216,0.008286683114035,0.0,0.0,0.0,2
2025,2025-05-25,12.655209173198957,8.72,18.66,73.53049155468459,20153.880267077267,97143.82,12.001941885964913,11.016137061403509,10.133821271929824,9.34414254385965,23.185069444444444,22.25424342105263,21.599298245614037,23.10555701754386,7.458181632663509,0.008319899122807,0.0,0.0,0.0,2
2025,2025-05-26,16.72096052631579,7.779999999999999,23.24,64.27761842105262,33657.70180921052,96824.66,13.72874451754386,12.037890350877191,10.777426535087718,9.76196052631579,23.199189814814815,22.254633771929825,21.673941885964915,23.1405975877193,7.233307161237508,0.0083361655701754,0.0,0.0,0.0,2
2025,2025-05-27,18.73957297611499,12.26,25.82,64.95611865884591,23701.165768547875,87989.18000000001,14.781029605263155,12.992767543859648,11.614541666666666,10.436986842105265,22.524134990253412,21.881421052631577,21.521433114035087,23.12533004385965,7.235352374468883,0.0082430124601275,0.0,1.0,0.0,2
2025,2025-05-28,22.90632017543859,17.34,30.119999999999997,57.96010745614035,24277.439769736844,81270.66,16.914424342105264,14.453639254385966,12.629396929824562,11.180345394736843,21.854549220272904,21.559871710526316,21.363831140350875,23.02914912280702,7.250160402974432,0.0080113157894736,0.0,1.0,0.0,2
2025,2025-05-29,24.086613955823292,17.92,30.380000000000003,55.888032128514055,24603.61876004016,83373.48000000001,18.379047149122805,15.883036184210528,13.87408004385965,12.18853399122807,20.92972709551657,21.04742214912281,21.103109649122807,22.92270504385965,7.224941035189706,0.0086403216374269,0.0,2.0,0.0,2
2025,2025-05-30,24.877076754385964,19.4,31.04,56.53219736842105,25827.038692982453,95281.38,19.4841875,16.97561403508772,14.891984649122808,13.11825657894737,19.998546539961016,20.44856798245614,20.76855153508772,22.719846491228072,7.20522031113794,0.0083129800194931,0.0,0.0,0.0,2
2025,2025-05-31,25.756083333333333,18.18,32.480000000000004,53.26558552631579,32319.76521929825,85575.28,20.315746710526316,17.91615789473684,15.835591008771932,13.997162280701756,19.032730263157895,19.77197478070175,20.3060975877193,22.47553728070175,7.204559784793467,0.0078884393274853,0.0,1.0,0.0,2
2025,2025-06-01,22.365833333333335,17.36,27.92,58.0875,28683.347708333335,84413.78,20.13632894736842,18.254185307017543,16.43777850877193,14.699142543859647,18.100644493177388,19.103835526315788,19.819876096491228,22.14622478070175,7.208869525992644,0.007389074074074,0.0,1.0,0.0,2
2025,2025-06-02,19.94374342105263,14.2,26.339999999999996,54.42569078947368,30393.09431359649,91093.92,17.240234375,15.992578125,14.43125,12.858333333333334,18.32544642857143,18.327083333333334,18.62486979166667,21.541145833333335,7.2013602128725385,0.00851875,0.0,1.0,0.0,2
2025,2025-06-03,16.262065789473684,11.84,20.68,74.8032543859649,11048.590228070176,66136.81999999999,17.845,17.63458333333333,16.984583333333333,15.786041666666668,16.09192708333333,16.351458333333333,18.156875000000003,22.24125,7.231275053098504,0.0089895833333333,0.0,1.0,0.0,2
2025,2025-06-04,14.573495614035089,11.04,17.94,72.04315350877194,11387.23126754386,44993.48,15.59684210526316,15.449052631578947,15.335368421052632,14.79178947368421,15.789736842105263,16.044842105263157,17.77284210526316,21.899578947368425,7.201799303303676,0.0083742105263157,0.0,2.0,0.0,2
2025,2025-06-05,13.525668859649125,10.78,16.759999999999998,77.4472456140351,14533.955594298246,95966.16,15.069166666666666,14.861458333333337,14.6375,14.120416666666667,16.11875,16.149791666666665,17.610208333333333,21.66,7.229961156796497,0.0105215277777777,0.0,1.0,0.0,2
2025,2025-06-06,14.992151315789474,10.04,21.94,78.3889100877193,28228.17614692982,109144.63999999998,15.569776785714286,14.776666666666666,14.043794642857142,13.40720238095238,17.845353835978838,18.163898809523808,18.513050595238095,20.928526785714286,7.574476848825609,0.0061153087797619,0.0,1.0,0.0,2
2025,2025-06-07,13.095416666666663,10.72,16.34,89.10354166666667,12764.741141499231,60929.259999999995,14.513253289473685,14.269467105263155,13.881828947368422,13.345614035087715,17.608587962962964,17.93099561403509,18.412139254385966,20.872322368421052,7.465334312546894,0.0060399520285087,0.0,1.0,0.0,2
2025,2025-06-08,16.91673903508772,10.44,22.26,78.41834429824561,28415.569850654138,109841.54,15.830786184210528,14.696935307017544,13.906690789473682,13.24476864035088,17.572646198830412,17.806323464912282,18.316372807017544,20.79164254385965,7.638217248784616,0.0058741008771929,0.0,1.0,0.0,2
2025,2025-06-09,15.752957990162434,10.98,19.4,87.5856807652711,23640.67575397506,109556.72,16.184791666666666,15.324166666666668,14.431145833333332,13.578125,19.349305555555556,18.639791666666667,19.12666666666667,21.39229166666667,7.385703140548456,0.0054113425925925,0.0,0.0,0.0,2
2025,2025-06-10,17.28858144417561,10.55,21.816666666666663,79.05877242005049,20021.12707131847,71230.25,16.20059380991303,15.253522894936877,14.307181481909826,13.442197476205347,18.473101659651473,17.95617352779301,17.08805450101682,19.04214887250691,7.362253113900734,0.0065864958294544,0.0,2.0,0.0,2
2025,2025-06-11,18.733939292114695,14.9,24.6,80.02524488304094,22472.196842812675,99394.1,17.02782976376049,15.75148383543701,14.611704468776836,13.64159612317507,19.518850327988897,18.174307564210817,17.311120383099873,19.11514036080019,7.372173070051645,0.0066853179824561,0.0,1.0,0.0,2
2025,2025-06-12,23.054457236842108,14.733333333333334,28.95,71.8314894005848,33771.35431103801,94547.78333333333,18.758355723868497,16.84983349918915,15.334498286156569,14.10313135780628,18.9780039943609,17.761008126934986,17.152405462184873,18.9909925549167,7.212611578599889,0.0067566995614035,0.0,1.0,0.0,2
2025,2025-06-13,21.27653874269006,18.7,23.85,79.25198282163743,13069.257507309942,70425.61666666667,18.873665204678364,17.58678216374269,16.209880116959066,14.88140423976608,17.286214755639097,17.331414473684212,17.34125365497076,19.72049342105263,7.39167479644845,0.0072226434576023,2.0,1.0,0.0,2
2025,2025-06-14,21.215115131578948,18.183333333333337,26.816666666666663,81.4888687865497,23678.40345394737,94339.05,19.362888157894737,17.829308479532166,16.44748245614035,15.200273391812864,16.486372180451127,16.88418494152047,16.99982821637427,19.54144078947369,7.515982747233436,0.0076503795115903,0.0,1.0,0.0,2
2025,2025-06-15,22.71785453216374,16.599999999999998,28.2,70.07716557017544,32987.81949378655,99065.85,19.9711769005848,18.32123976608187,16.87222807017544,15.591920321637426,15.76109570802005,16.430913011695907,16.6122317251462,19.288601608187136,7.447501538762518,0.0073893636318835,0.0,0.0,0.0,2
2025,2025-06-16,20.809237938596493,16.466666666666665,24.8,85.82046966374268,11744.07272112573,52698.43333333333,19.22205847953216,18.220908625730996,17.100565789473684,15.916200292397662,15.061051065162909,15.964244883040935,16.285110380116958,19.07105774853801,7.480429518569723,0.0071024575705568,0.0,1.0,0.0,2
